Station ID,Bottleneck ,Latitude,Lontitude
401371,5,37.768938,-122.405503
401378,20,37.768835,-122.405123
401255,4,37.767059,-122.405129
401231,18,37.762943,-122.405434
401516,26,37.760031,-122.406233
401408,1,37.75869,-122.405643
401409,4,37.756863,-122.403503
401410,4,37.75671,-122.403619
400043,1,37.753591,-122.403092
400868,21,37.7536,-122.402898
401285,1,37.744018,-122.405853
401277,1,37.74302,-122.406392
401935,1,37.734313,-122.406375
400255,1,37.727662,-122.402599
400573,1,37.770861,-122.397356